     78.12 5.062650e+03 9.987516e+02 3.164557e+03 1.390400e-02
    117.19 5.298949e+03 1.110289e+03 3.531867e+03 1.868700e-02
    156.25 5.410523e+03 1.145803e+03 3.704171e+03 2.375700e-02
    195.31 5.499038e+03 1.202212e+03 3.856131e+03 2.852600e-02
    292.97 5.577037e+03 1.045078e+03 3.789097e+03 4.354600e-02
    390.62 5.632216e+03 1.066951e+03 3.893116e+03 5.651000e-02
    781.25 5.724836e+03 1.187578e+03 4.154824e+03 1.059010e-01
   1562.50 5.777091e+03 1.287519e+03 4.335830e+03 2.029600e-01
   3125.00 5.802989e+03 1.344753e+03 4.432702e+03 3.970490e-01
   7812.50 5.817903e+03 1.381201e+03 4.492313e+03 9.794510e-01
  15625.00 5.823972e+03 1.393420e+03 4.512543e+03 1.950120e+00
  31250.00 5.227998e+03 9.466397e+02 3.702015e+03 4.754168e+00
  46875.00 4.188301e+03 5.590414e+02 2.632931e+03 1.002685e+01
  62500.00 4.076060e+03 5.500319e+02 2.574494e+03 1.367259e+01
 117187.50 4.037368e+03 5.641205e+02 2.588104e+03 2.550130e+01
