     78.12 5.074854e+03 1.074114e+03 3.255160e+03 1.351700e-02
    117.19 5.308325e+03 1.177856e+03 3.601244e+03 1.832700e-02
    156.25 5.429987e+03 1.230769e+03 3.797687e+03 2.317200e-02
    195.31 5.495713e+03 1.275022e+03 3.924367e+03 2.803000e-02
    292.97 5.614823e+03 1.321004e+03 4.118308e+03 4.006500e-02
    390.62 5.647644e+03 1.355932e+03 4.213268e+03 5.221600e-02
    781.25 5.719760e+03 1.407856e+03 4.380507e+03 1.004450e-01
   1562.50 5.773589e+03 1.429439e+03 4.473045e+03 1.967340e-01
   3125.00 5.797501e+03 1.443314e+03 4.523073e+03 3.891160e-01
   7812.50 5.802786e+03 1.451774e+03 4.549511e+03 9.671370e-01
  15625.00 5.811238e+03 1.454212e+03 4.561547e+03 1.929170e+00
  31250.00 5.802422e+03 1.455805e+03 4.560838e+03 3.858940e+00
  46875.00 5.576418e+03 1.446745e+03 4.425422e+03 5.965533e+00
  62500.00 5.505334e+03 1.431669e+03 4.372315e+03 8.050656e+00
 117187.50 5.459284e+03 1.369262e+03 4.292544e+03 1.537550e+01
